"Jahr","ß","d","Preis in d","Basel: in d","Basel: in g Ag","Basel: Roggen (hl in fl)","Strasbourg: in d","Strasbourg: Roggen (hl in fl)","Strasbourg: in g Ag (1)","Strasbourg: in g Ag (2)","Weizen V in d","Strasbourg: Weizen (hl in fl)","Nürnberg: Sümmer in d","Nürnberg: hl in d","Nürnberg: Sümmer in fl","Nürnberg: Roggen (hl in fl)","Köln: hl in g Ag","Köln: Malter in Mk","Köln: hl in Allbus","Köln: Roggen oder Weizen (hl in fl)"
1487,20,9,249,91.1053382605832,9.01942848779774,0.303684460868611,46.479600619728,0.36888571920419,12.582,10.8297469443966,62,0.423535455382589,408,128.301886792453,1.4,0.440251572327044,16.6463414634146,5.05,18.4756097560976,0.577362804878049
1488,20,NA,240,87.8123742270682,8.69342504847975,0.292707914090227,42.1759338956791,0.334729634092691,11.417,9.82699259769323,71,0.485016408583288,349,109.748427672956,1.34,0.421383647798742,19.7560975609756,6,21.9512195121951,0.685975609756098
1489,NA,NA,0,NA,NA,NA,55.0869340678258,0.437197889427189,14.912,12.8352556378034,80,0.546497361783986,363,114.150943396226,1.77,0.556603773584906,19.390243902439,5.88,21.5121951219512,0.672256097560976
1490,34,10,418,152.939885112144,15.1410486261022,0.509799617040479,68.8586675847822,0.546497361783986,18.64,16.0440695472543,108,0.737771438408381,506,159.119496855346,2.51,0.789308176100629,32.9878048780488,10.21,37.3536585365854,1.13192904656319
1491,53,3,639,233.800446379569,23.1462441915773,0.77933482126523,87.7948011705973,0.696784136274582,19.074,16.4176278189017,115,0.78558995756448,750,235.849056603774,3.07,0.965408805031447,34.0853658536585,10.95,40.0609756097561,1.18523596478568
1492,33,4,400,146.353957045114,14.4890417474662,0.487846523483712,48.2010673093476,0.38254815324879,10.472,9.013599586848,112,0.76509630649758,667,209.748427672956,2,0.628930817610063,16.7073170731707,5.71,20.890243902439,0.583526365989917
1493,22,1,265,96.9594965423878,9.59899015769639,0.323198321807959,36.1508004820107,0.286911114936593,7.854,6.760199690136,98,0.669459268185383,427,134.276729559748,1.48,0.465408805031447,13.4146341463415,4.59,16.7926829268293,0.466463414634146
1494,17,10,214,78.2993670191358,7.75163733489444,0.260997890063786,30.986400413152,0.245923812802794,6.732,5.79445687725943,52,0.355223285159591,350,110.062893081761,1.43,0.449685534591195,12.5609756097561,4.58,16.7560975609756,0.449225135682992
1495,16,8,200,73.1769785225568,7.24452087373312,0.243923261741856,30.1256670683422,0.239092595780494,6.545,5.63349974178,45,0.307404766003492,352,110.691823899371,1.21,0.380503144654088,14.7560975609756,5.63,20.5975609756098,0.53086497359819
1496,21,3,255,93.3006476162599,9.23676411400973,0.311002158720866,32.7078671027716,0.259586246847393,7.106,6.11637114821828,56,0.38254815324879,303,95.2830188679245,1.35,0.424528301886792,15.7926829268293,6.17,22.5731707317073,0.564329268292683
1497,21,10,262,95.8618418645494,9.49032234459039,0.319539472881831,NA,NA,NA,NA,NA,NA,418,131.446540880503,2.15,0.676100628930818,16.5853658536585,6.63,24.2560975609756,0.598915989159892
1498,30,9,369,135.011525374117,10.9359335553035,0.450038417913724,34.4293337923911,0.273248680891993,7.48,6.43828541917714,65,0.444029106449489,560,176.100628930818,2.08,0.654088050314465,11.4024390243902,4.67,17.0853658536585,0.413689245851296
1499,30,7,367,134.279755588892,10.8766602027002,0.447599185296306,44.7581339301084,0.355223285159591,9.724,8.36977104493028,72,0.491847625605587,448,140.880503144654,1.4,0.440251572327044,13.4146341463415,5.5,20.1219512195122,0.487214315242426
1500,36,11,443,162.087007427463,13.1290476016245,0.540290024758211,67.1372008951627,0.532834927739386,14.586,12.5546565673954,91,0.621640749029284,391,122.955974842767,2.08,0.654088050314465,11.219512195122,4.71,17.2317073170732,0.396131202691337
